"code","buildingCode","address"
"bt0110","bw0110","Akademiestr. 1"
"bt1020","bw1020","Amalienstr. 17 (A)"
"bt0073","bw0073","Amalienstr. 52 (K)"
"bt0090","bw0090","Amalienstr. 54 (L)"
"bt0147","bw0147","Amalienstr. 73A"
"bt0151","bw0151","Amalienstr. 83 "
"bt1543","bw1543","Bavariaring 19"
"bt2951","bw2955","Butenandtstr. 01 (K)"
"bt2955","bw2955","Butenandtstr. 05 (B)"
"bt2957","bw2955","Butenandtstr. 07 (C)"
"bt2959","bw2955","Butenandtstr. 09 (D)"
"bt2961","bw2955","Butenandtstr. 11 (E)"
"bt2963","bw2955","Butenandtstr. 13 (F)"
"bt6500","bw6500","Edmund-Rumpler-Str. 09 (A)"
"bt2921","bw2921","Feodor-Lynen-Str. 23 (N)"
"bt2920","bw2920","Feodor-Lynen-Str. 25"
"bt9925","bw9925","Fraunhoferstr.12"
"bt0631","bw0631","Georgenstr. 11"
"bt0630","bw0630","Georgenstr. 07"
"bt0030","bw0000","Geschwister-Scholl-Platz 1"
"bt0570","bw0570","Giselastr. 10"
"bt1502","bw1502","Goethestr. 29 (J) "
"bt1509","bw1509","Goethestr. 31 (H) "
"bt1503","bw1503","Goethestr. 33 (G) "
"bt2971","bw2970","Großhaderner Str. 02"
"bt2974","bw2974","Großhaderner Str. 04"
"bt2980","bw2980","Großhaderner Str. 06"
"bt3204","bw3200","Großhaderner Str. 09"
"bt0310","bw0310","Kaulbachstr. 37"
"bt0306","bw0306","Kaulbachstr. 45"
"bt0303","bw0303","Kaulbachstr. 53"
"bt0801","bw0801","Königinstr. 08 (B)"
"bt0820","bw0820","Königinstr. 10b (E)"
"bt0822","bw0822","Königinstr. 12 (F)"
"bt0823","bw0822","Veterinärstr. 13 (P) "
"bt0824","bw0824","Königinstr. 14 (G)"
"bt0825","bw0824","Veterinärstr. 13 (N) "
"bt0826","bw0826","Königinstr. 16 (H) "
"bt0827","bw0826","Veterinärstr. 13 (L) "
"bt0828","bw0828","Königinstr. 18 (J) "
"bt0650","bw0650","Konradstr. 06"
"bt7045","bw7045","Laplacestr. 16"
"bt0608","bw0608","Leopoldstr. 11 A-B"
"bt0601","bw0601","Leopoldstr. 13"
"bt0607","bw0607","Leopoldstr. 13A"
"bt0610","bw0610","Leopoldstr. 15"
"bt0600","bw0600","Leopoldstr. 03"
"bt0580","bw0580","Leopoldstr. 30"
"bt0590","bw0590","Leopoldstr. 44"
"bt0620","bw0620","Leopoldstr. 05"
"bt1540","bw1540","Lessingstr. 02 (Lessingstr.)"
"bt1640","bw1640","Lindwurmstr. 23"
"bt0040","bw0040","Ludwigstr. 27 (G) "
"bt0407","bw0407","Ludwigstr. 28 (Y RG)"
"bt0122","bw0122","Ludwigstr. 29"
"bt0121","bw0121","Ludwigstr. 31"
"bt0123","bw0121","Ludwigstr. 31, RG"
"bt0120","bw0120","Ludwigstr. 33"
"bt1122","bw1120","Luisenstr. 37"
"bt2102","bw2102","Marchioninistr. 27"
"bt7055","bw7055","Maria-Theresia-Str. 21"
"bt0554","bw0554","Martiusstr. 04"
"bt7070","bw7070","Oettingenstr. 67"
"bt1521","bw1521","Pettenkoferstr. 09A "
"bt1508","bw1500","Pettenkoferstr. 12 (D)  "
"bt1507","bw1507","Pettenkoferstr. 14 (F) "
"bt0420","bw0420","Professor-Huber-Platz 2"
"bt1110","bw1110","Richard-Wagner-Str.10"
"bt0104","bw0104","Schackstr. 04"
"bt7000","bw7000","Scheinerstr. 01"
"bt0070","bw0070","Schellingstr. 12 (K)"
"bt0203","bw0200","Schellingstr. 03 (S)"
"bt0270","bw0270","Schellingstr. 33"
"bt0050","bw0050","Schellingstr. 04 (H)"
"bt0251","bw0251","Schellingstr. 05"
"bt0252","bw0252","Schellingstr. 07"
"bt0250","bw0250","Schellingstr. 09"
"bt1504","bw1504","Schillerstr. 42 (B)"
"bt1505","bw1505","Schillerstr. 44 (K)"
"bt1501","bw1501","Schillerstr. 46 (C)"
"bt0334","bw0334","Schönfeldstr. 13A"
"bt4925","bw4925","Schönleutnerstr. 8"
"bt0575","bw0575","Seestr. 13"
"bt4070","bw4070","Sonnenstr. 16"
"bt1715","bw1715","Thalkirchner Str. 36 / Frauenlobstr. 7a"
"bt1003","bw1003","Theresienstr. 37, 39, 41"
"bt0440","bw0440","Veterinärstr. 01"
"bt0800","bw0800","Veterinärstr. 13 (A)"
"bt0802","bw0800","Veterinärstr. 13 (C) "
"bt0830","bw0800","Veterinärstr. 13 (K) "
"bt0835","bw0800","Veterinärstr. 13 (Q)"
"bt0840","bw0800","Veterinärstr. 13 (R)"
"bt0850","bw0800","Veterinärstr. 13 (S)"
"bt0851","bw0800","Veterinärstr. 13 (T)"
"bt0460","bw0460","Veterinärstr. 05"
"bt5950","bw5950","Zentnerstr.31"
"bt1541","bw1540","Lessingstr. 02 (Beethovenpl.)"
"bt0410","bw0407","Ludwigstr. 28 (X VG)"